2253 153
802 6
2230 276
1780 59
2259 4
2373 137
994 189
435 1352
1087 271
2014 23
1597 470
1779 255
1571 32
1199 214
489 4
2329 6
1247 204
1540 59
1354 293
508 315
2056 269
1668 381
437 258
64 121
866 1
2229 6
1982 249
428 82
1323 369
269 32
370 258
456 4
1236 316
1183 189
2009 232
801 292
225 123
1410 495
208 150
2202 384
760 823
661 1
1427 290
1281 32
397 232
501 137
391 1
2322 4
701 6
160 1
2485 272
431 6
1863 493
1177 204
1740 1249
736 316
765 258
2405 487
476 257
792 163
1728 255
2448 166
2391 228
1723 6
1599 79
384 6
670 253
2057 1104
260 32
542 4
230 137
1364 4
1227 59
625 391
1739 6
1460 4
1693 140
2283 283
1201 73
1626 32
1394 284
2436 292
1847 283
1368 282
1795 293
2008 304
730 119
1490 230
307 6
700 158
899 1223
499 326
1965 578
1037 168
1935 6
1135 274
891 413
2460 514
652 350
182 257
1373 32
841 6
954 387
67 123
2426 94
31 122
1053 73
1787 373
1696 345
512 283
1021 32
1796 313
1433 187
1489 312
37 437
2279 146
74 373
1637 108
1398 32
1074 164
164 71
1860 6
54 46
354 31
1526 599
2386 1
2141 1038
1361 224
1623 339
2139 102
526 673
1206 292
246 36
1169 201
2361 295
875 720
469 258
118 634
865 311
313 6
867 68
1382 369
1685 1077
1504 295
1511 32
1024 112
745 155
1384 32
318 6
308 182
1348 507
869 1104
2033 37
1567 1
166 123
1228 295
931 362
1681 579
1065 160
2222 298
1157 631
2138 6
1901 6
844 255
463 425
1326 6
1652 251
1429 4
1456 282
139 103
679 78
1940 377
1197 32
280 39
681 329
1613 907
1671 374
7 575
1223 32
506 388
1137 32
946 288
8 29
1733 207
2307 6
870 32
830 1467
2458 82
993 53
1213 192
1250 170
191 39
804 292
331 389
2022 270
884 1194
992 303
361 363
518 578
1851 238
1556 311
89 4
239 1397
116 194
1584 32
1256 32
862 183
1516 6
1042 305
2292 295
379 308
1899 488
202 258
98 2727
1544 412
2085 429
290 46
2250 45
291 235
1040 158
1539 258
1438 32
766 523
953 400
2220 314
1107 72
1669 81
1678 219
2293 585
474 889
1488 32
1831 400
1727 1331
2114 447
1193 4
1708 79
353 171
148 53
2083 156
1151 916
1003 32
445 144
282 6
595 197
417 2
114 135
814 431
1902 199
1004 1282
375 82
722 466
1610 6
141 425
1077 6
1912 517
1569 411
2069 6
2450 416
1163 4
1731 323
1598 105
1907 293
684 363
507 4
2066 136
714 4
441 82
1188 2
5 479
1653 197
741 602
629 4
1182 170
1022 602
2243 214
757 255
1240 32
1686 281
43 4
1522 32
2127 284
2039 6
466 6
2390 4
2354 305
1038 331
70 103
1481 62
2087 1097
1450 32
71 384
1519 185
1929 894
1049 259
1304 362
2101 227
2167 287
1854 904
325 32
1666 979
2479 1
459 4
432 762
1904 143
563 1
1984 288
42 4
1989 1002
1952 6
2189 220
2234 235
387 6
807 185
694 663
1596 62
1112 59
793 177
2486 664
1732 298
1659 273
490 288
1602 805
833 1086
1788 6
532 260
1010 6
1391 209
1127 32
1070 186
274 446
2082 392
1226 286
1667 32
263 202
1093 32
1085 213
2192 577
1985 561
860 260
1839 440
677 4
1146 104
906 32
204 1527
1560 6
1084 172
917 165
1746 338
1756 244
193 1229
2470 92
1742 911
838 1332
442 260
676 103
1997 236
1642 6
1772 6
2496 253
1280 29
1842 417
1679 301
2013 203
1051 433
1549 32
1307 495
85 59
1378 251
1618 342
1180 156
896 384
1103 32
2158 249
1898 358
2104 225
878 17
1876 179
1061 261
2215 263
1327 238
2300 188
1342 293
1386 87
2170 366
2248 314
658 4
2323 445
1209 156
747 533
1192 4
1778 435
1586 377
1160 32
535 171
927 206
1908 406
1466 6
689 438
175 123
1203 273
1880 72
567 133
1403 4
218 288
603 6
2058 519
2071 602
780 381
1850 95
1320 478
981 781
651 4
1502 577
1057 400
1130 32
555 245
2210 302
1104 307
1704 412
1276 226
32 559
483 139
2446 306
592 688
161 814
1229 631
1451 327
1389 2311
656 1171
1020 330
514 6
672 1109
219 73
1215 307
2130 293
530 399
1741 281
550 545
1856 347
399 288
303 32
608 4
2370 627
509 153
1867 130
284 1
2364 421
1023 327
1590 260
2063 233
2457 405
1631 32
782 106
1525 201
2306 358
1058 32
753 119
404 255
1316 29
1771 6
1435 4
2047 1039
69 581
1497 428
1477 383
1628 886
533 311
693 4
950 6
228 464
990 213
1508 576
2468 1817
60 123
1312 217
1340 547
1702 581
1155 6
2055 282
582 146
254 4
443 6
418 298
1749 122
14 557
1969 2277
2475 116
403 6
365 123
1306 31
1337 530
271 592
267 6
2147 653
2061 377
1156 720
2074 193
1608 384
185 123
1383 175
2246 507
2077 266
1509 1003
393 296
1150 4
855 4
1047 32
66 3189
362 586
1439 4
1674 252
188 629
1198 4
759 4
2133 223
1656 290
2466 452
879 364
1211 32
989 765
1244 291
1983 272
99 46
2206 764
522 4
2155 274
1444 235
1551 446
155 285
62 82
233 439
1638 184
460 6
516 461
1086 219
